Provisional Results 2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
BSc Computer Science (Year 3),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Results are overall module results; these are provisional until verified by the UCL Board of Examiners. ,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3013,COMP3035,COMP3091,,,,ELEC310P,ELEC311P,,,Award Mark,70.83,,,,
RHCD0,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,78,70,74,58,68,,,,67,72,,,Classification,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,,,1.0,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,CEGE301M,CEGE305M,COMP3004,COMP3005,COMP3035,,,,COMP3091,COMPM064,,,Award Mark,72.75,,,,
RQTV6,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,73,54,67,76,92,,,,64,74,,,Classification,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3012,COMP3013,COMP3091,,,,ELEC310P,ELEC311P,,,Award Mark,63.72,,,,
PQKW6,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,49,67,74,76,60,,,,64,71,,,Classification,2A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,,,0.5,1.0,,AWARD MADE,Credit Passed,11.5,,,,
,,,,,,,,Module Code,CEGE301M,CEGE305M,COMP3004,COMP3005,COMP3011,,,,COMP3080,COMP3091,,,Award Mark,63.76,,,,
QPPV2,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,65,60,35,75,71,,,,64,58,,,Classification,2A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3013,COMP3058,COMP3091,,,,MSIN3001,MSIN7016,,,Award Mark,71.44,,,,
NZDF3,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,56,74,74,75,72,,,,71,70,,,Classification,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3013,COMP3058,COMP3091,,,,MSIN3001,MSIN7016,,,Award Mark,73.72,,,,
NRCF2,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,68,71,87,69,72,,,,70,68,,,Classification,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
